TRAINER,Pushpa Kumar,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,1,,,
TRAINER_Certification,aerobics,1,,,,,,
TRAINER,Jason Smith,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,2,,,
TRAINER_Certification,weightlifting,2,,,,,,
TRAINER,Farokh Bastani,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,3,,,
TRAINER_Certification,yoga,3,,,,,,
TRAINER,Nhut Nguyen,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,4,,,
TRAINER_Certification,aerobics,4,,,,,,
TRAINER,Simeon Ntafos,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,5,,,
TRAINER_Certification,weightlifting,5,,,,,,
TRAINER,Si Zheng,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,6,,,
TRAINER_Certification,yoga,6,,,,,,
TRAINER,Kang Zhang,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,7,,,
TRAINER_Certification,aerobics,7,,,,,,
TRAINER,Sergey Bereg,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,8,,,
TRAINER_Certification,weightlifting,8,,,,,,
TRAINER,John Cole,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,9,,,
TRAINER_Certification,yoga,9,,,,,,
TRAINER,Andras Farago,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,10,,,
TRAINER_Certification,aerobics,10,,,,,,
TRAINER,Kevin Hamlen,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,11,,,
TRAINER_Certification,weightlifting,11,,,,,,
TRAINER,Herman Harrison,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,12,,,
TRAINER_Certification,yoga,12,,,,,,
TRAINER,Latifur Khan,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,13,,,
TRAINER_Certification,aerobics,13,,,,,,
TRAINER,Neeraj Mittal,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,14,,,
TRAINER_Certification,weightlifting,14,,,,,,
TRAINER,Ramaswamy Chandrasekaran,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,15,,,
TRAINER_Certification,yoga,15,,,,,,
TRAINER,Jorge Cobb,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,16,,,
TRAINER_Certification,aerobics,16,,,,,,
TRAINER,Xiaohu Guo,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,17,,,
TRAINER_Certification,weightlifting,17,,,,,,
TRAINER,Greg Ozbirn,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,18,,,
TRAINER_Certification,yoga,18,,,,,,
TRAINER,Dan Moldovan,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,19,,,
TRAINER_Certification,aerobics,19,,,,,,
TRAINER,Klaus Truemper,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,20,,,
TRAINER_Certification,weightlifting,20,,,,,,
TRAINER,Yuke Wang,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,21,,,
TRAINER_Certification,yoga,21,,,,,,
TRAINER,Michael Christiansen,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,22,,,
TRAINER_Certification,aerobics,22,,,,,,
TRAINER,Lawrence Chung,12345 Sesame Street Richardson Tx 75080,email@email.com,1234567890,23,,,
TRAINER_Certification,weightlifting,23,,,,,,
